Name;Address;Coordinates;Ingredients;Description;ImageName;ImageDescription;WebLink
Hallmark Poultry;1756 Pandora St, Vancouver, BC V5L 1M1;49.28268454317342, -123.06860016244906;Chicken;Since the early 1960’s the Pollon family has been raising chickens in the Fraser Valley. With over fifty years’ experience in the family it brings us great joy to provide quality poultry products from our family to yours.;hallmark;two members of the Pollon family outside hallmark farms;http://www.hallmarkfarms.ca/
Nana's Kitchen;8125 130 St #12, Surrey, BC V3W 7X4;49.149928010671395, -122.86352695762447;Vegetable Samosa;Nana’s Kitchen began as a small restaurant producing delicious family style and ethnic meals in Burnaby, British Columbia, Canada. Co-Founders Nasim and Shelina started with a restaurant that became well known for their great food, lots of laughter and for providing job opportunities as cooks and servers to new Canadian women.;nanaskitchen;a table with different plates of pastry wrapped foods with a dish of green chutney;https://yournanaskitchen.com/
P&S Frozen Foods;1238 SE Marine Dr, Vancouver, BC V5X 2V9;49.21076562767658, -123.08163866607971;Spicy Chicken Sausage Roll;P&S Frozen Foods is the leading supplier of premium, handcrafted European sausage rolls, puff pastries and pocket pies for retail and food services. Started in the 1980’s by the Toliani family, their rich Hungarian heritage along with love of baking inspired our popular OvenFresh line of frozen baked goods.;psfoods;a platter of sausage roll pastries meat garlic onions and herbs;https://sausagerolls.biz/
Pace Processing;19495 55 Ave #107, Surrey, BC V3S 8P6;49.10283768784042, -122.68325151710242;Pizza Dough;Pace Processing is a multi-category food processor serving retail and food service industries across North America. With over 18 years in the frozen food industry, they provide high-quality  products from traditional pizzas and artisan breads to decadent cakes, single serve dessert and more.;paceprocessing;an overhead shot of a table with a large pizza with numerous ingredients. There are 4 sets of hands reaching to grab slices of pizza.;http://www.paceprocessing.com/
Zorba's Bakery and Foods;7173 Buller Ave, Burnaby, BC V5J 4S1;49.21887393270637, -122.97776248149533;Hummus, Tzatziki;Originating from the clear mountain waters of the village of Steni, Greece, where the original village bakery was started, Zorba’s recipes are true to their roots.  Using fresh local ingredients such as Okanagan goat yogurt and cheese, Fraser Valley yogurt and cucumbers, and Canadian Prairie grown wheat flour they proudly produce delicious ready-to-eat foods based on traditional recipes.;zorbas;The original logo of the Zorba's company;https://zorbasfoods.com/
Highline Mushrooms;38050 Atkinson Rd, Abbotsford, BC V3G 2G6;49.062902174873734, -122.17016572191703;Mushrooms;Our innovative spirit has set standards for industry change, and our respect for the environment, the consumers and our people drive our constant growth. Our knowledgeable team of hard-working Highline associates motivates our passion, progress and success in growing high-quality, firm, nutritious, sustainable and delicious mushrooms.;highlinemushrooms;three brown and white mini bella mushrooms;https://www.highlinemushrooms.com/
Nanuk Seafood;1909 East Hastings St. Vancouver BC, V5L 1T5;49.281521384541676, -123.06510674702851;Smoked Salmon;Nanuk (the Inuit word for “polar bear”) was born in 1970, created as a Canadian brand of troll-caught salmon for European smokers. Our passion is simple. Great seafood. Period. That’s why we’ve been sharing premium, ethically sourced products that Canadians can be proud to serve their guests, customers, and families. With over 50 years in seafood, passion may be our most sustainable resource.;nanuk;A fillet of sockeye salmon with some french green beans, raw potatoes and a lemon slice on a wooden cutting board;https://www.nanuksalmon.com/
Patisserie Lebeau;1728 W 2nd Ave, Vancouver, BC V6J 1H6;49.26971048522006, -123.14402697291048;Waffles;Since 1995, Patisserie Lebeau ?has been baking Belgian rice pies, craquelins, speculoos and many other Belgian favourites, along with other delicious pastries and viennoiseries. At Patisserie Lebeau, we believe in making high-quality food at a reasonable price with ingredients you can pronounce.;patisserielebeau;A golden crispy belgian-style waffle surrounded by small sugar rocks;
Snowcrest;1925 Riverside Road Abbotsford, BC V2S 4J8;49.03713354895528, -122.27573684730973;Blueberries;We have 60 years of experience growing, processing and distributing fruits and vegetables throughout Canada and around the world. Our local grower base, industry knowledge, community relationships and integrated approach combine to bring the finest frozen-fresh fruits and vegetables to your family’s table.;snowcrest;A plate with a heap of fresh blueberries and raspberries;https://snowcrest.ca/
Monte Cristo Bakery;7763 Progress Way, Delta, BC V4G 1A3;49.13767390710008, -123.00853347298273;Scone Varieties;Meet the husband-wife team, Karim and Shyrose Nathoo, our friends and trusted partners since 2007 from Monte Cristo Bakery in Delta. Monte Cristo started in a 2,000 square foot bakery and they have now expanded to a 70,000 square foot bakery with a huge offering from breads and pastries to Panettone and Stollen.;montecristo;Husband and Wife Karim and Shyrose eating from opposite ends of a baguette.;https://www.thriftyfoods.com/about-us/products-we-love/we-pick-bc-first/monte-cristo-bakery
Maureen Simon Foods;19879 72nd Ave, Langley, BC;49.13398025285571, -122.67192210580833;Tofu Scramble Roll - (Rolliis);Maureen’s is a local food manufacturer in Vancouver, B.C. Canada. We create unique plant-based, local-ethnic, original food products. At Maureen’s we are based on cooking from ‘long ago’. Caribbean cooking traditionally uses a lot of veggie-focused dishes and the flavours we lean on do their best to bring out the best in veg.;maureensimonfoods;A stack of Maureens Tofu Scramble Rolliis on a wood panel backdrop.;https://maureensimonfoods.com/
Trump Food Interests;646 Powell St, Vancouver, BC V6A 1H4;49.28303484752561, -123.09045887441887;Gluten-Free Almond Chocolate Cookies, Banana Loaf;Since 1987, Trumps has been dedicated to providing the best service and products to their customers. Owner Heather Angel started her career as a chef and opened Trumps as a small retail bakery and caterer in Vancouver. Since then, she has grown her business to acquire customers across Canada and the world, including Vancouver’s first Starbucks.;trumpfoodinterests;A picture of three brown cookies, each with three almond slivers in a triangle at their center.;https://www2.gov.bc.ca/gov/content/export-catalogue/bc-agrifood-seafood-export-catalogue/packaged-food-seasoning-dressing-companies/trumps-food-interests
